"Transaction Successful","Transaction Successful"
"Transaction status is unknown","Transaction status is unknown"
"Transaction could not be processed","Transaction could not be processed"
"Bank Declined Transaction","Bank Declined Transaction"
"No reply from processing host","No reply from processing host"
"Expired Card","Expired Card"
"Insufficient funds","Insufficient funds"
"Error Communicating with Bank","Error Communicating with Bank"
"Payment Server System Error","Payment Server System Error"
"Transaction Type Not Supported","Transaction Type Not Supported"
"Bank declined transaction (Do not contact Bank)","Bank declined transaction (Do not contact Bank)"
"Transaction Aborted","Transaction Aborted"
"Deferred transaction has been received and is awaiting processing","Deferred transaction has been received and is awaiting processing"
"3D Secure Authentication failed","3D Secure Authentication failed"
"Card Security Code verification failed","Card Security Code verification failed"
"Shopping Transaction Locked (Please try the transaction again later)","Shopping Transaction Locked (Please try the transaction again later)"
"Cardholder is not enrolled in Authentication scheme","Cardholder is not enrolled in Authentication scheme"
"Transaction has been received by the Payment Adaptor and is being processed","Transaction has been received by the Payment Adaptor and is being processed"
"Transaction was not processed - Reached limit of retry attempts allowed","Transaction was not processed - Reached limit of retry attempts allowed"
"Duplicate SessionID (OrderInfo)","Duplicate SessionID (OrderInfo)"
"Address Verification Failed","Address Verification Failed"
"Card Security Code Failed","Card Security Code Failed"
"Address Verification and Card Security Code Failed","Address Verification and Card Security Code Failed"
"Unable to be determined","Unable to be determined"
"You will be redirected to Payment Gateway.","You will be redirected to Payment Gateway."
"Continue to Payment","Continue to Payment"
"Message","Message"
"Card Type","Card Type"
"Receipt No","Receipt No"
"Bank Authorization ID","Bank Authorization ID"
"You have cancelled the order. Please try again","You have cancelled the order. Please try again"
"Automatic invoice.","Automatic invoice."
"There has been an error processing your payment. Please try later or contact us for help.","There has been an error processing your payment. Please try later or contact us for help."
